Variable,Year,Value,RSE,Industry
Total non farm income ($),2010,59990.0,12.0,Sheep
Total off farm wages ($),2010,41030.0,18.0,Sheep
Total wool sold (kg),2010,12191.0,6.0,Sheep
Value of land and fixed improvements ($),2010,3284130.0,6.0,Sheep
Vet fees ($),2010,850.0,23.0,Sheep
Wages for hired labor ($),2010,7300.0,16.0,Sheep
Water charges ($),2010,870.0,23.0,Sheep
Wethers at 30 June (no.),2010,376.0,12.0,Sheep
Wheat area sown (ha),2010,68.0,33.0,Sheep
Wheat produced (t),2010,106.0,31.0,Sheep
Wheat receipts ($),2010,33010.0,50.0,Sheep
Wheat sold (t),2010,100.0,31.0,Sheep
Wool cut per head (kg),2010,4.3,2.0,Sheep
Wool produced (kg),2010,12430.0,6.0,Sheep
Wool receipts ($),2010,100790.0,7.0,Sheep
AI stud fees and herd testing ($),2010,940.0,37.0,Sheep-Beef
Accounting services ($),2010,4920.0,9.0,Sheep-Beef
Advisory services ($),2010,640.0,23.0,Sheep-Beef
Age of owner manager (yrs),2010,59.0,3.0,Sheep-Beef
Age of spouse (yrs),2010,54.0,3.0,Sheep-Beef
Agistment ($),2010,3940.0,50.0,Sheep-Beef
Area operated at 30 June (ha),2010,6810.0,11.0,Sheep-Beef
Barley area sown (ha),2010,6.0,33.0,Sheep-Beef
Barley produced (t),2010,8.0,33.0,Sheep-Beef
Barley receipts ($),2010,1160.0,46.0,Sheep-Beef
Beef bulls at 30 June (no.),2010,8.0,10.0,Sheep-Beef
Beef calves at 30 June (no.),2010,122.0,12.0,Sheep-Beef
Beef cattle purchased ($),2010,27220.0,25.0,Sheep-Beef
Beef cattle purchased (no.),2010,27.0,31.0,Sheep-Beef
Beef cattle receipts ($),2010,178540.0,9.0,Sheep-Beef
Beef cattle sold (no.),2010,194.0,9.0,Sheep-Beef
Beef cattle transferred off farm (no.),2010,0.0,81.0,Sheep-Beef
Beef cattle transferred onto farm (no.),2010,0.0,102.0,Sheep-Beef
Beef cows at 30 June (no.),2010,206.0,9.0,Sheep-Beef
Beef heifers at 30 June (no.),2010,50.0,12.0,Sheep-Beef
Beef herd at 30 June (no.),2010,446.0,9.0,Sheep-Beef
Branding rate (%),2010,88.0,2.0,Sheep-Beef
Buildup in trading stocks ($),2010,-11660.0,144.0,Sheep-Beef
Canola area sown (ha),2010,9.0,44.0,Sheep-Beef
Canola produced (t),2010,10.0,36.0,Sheep-Beef
Canola receipts ($),2010,7260.0,36.0,Sheep-Beef
Capital appreciation ($),2010,212700.0,43.0,Sheep-Beef
Capital at 1 July ($),2010,6302980.0,6.0,Sheep-Beef
Change in farm debt ($),2010,4940.0,352.0,Sheep-Beef
Contracts - cropping ($),2010,7470.0,22.0,Sheep-Beef
Contracts - livestock ($),2010,2570.0,32.0,Sheep-Beef
Cotton receipts ($),2010,0.0,,Sheep-Beef
Crop and pasture chemicals ($),2010,7640.0,14.0,Sheep-Beef
Dairy cattle at June 30 (no.),2010,0.0,,Sheep-Beef
Depreciation ($),2010,40900.0,7.0,Sheep-Beef
Electricity ($),2010,5000.0,12.0,Sheep-Beef
Equity ratio at 30 June (%),2010,92.0,1.0,Sheep-Beef
Ewes at 30 June (no.),2010,1503.0,8.0,Sheep-Beef
Family share of farm income ($),2010,39060.0,38.0,Sheep-Beef
Farm business debt at 30 June ($),2010,501480.0,16.0,Sheep-Beef
Farm business equity June 30 ($),2010,5698990.0,6.0,Sheep-Beef
Farm business profit ($),2010,-11390.0,143.0,Sheep-Beef
Farm cash income ($),2010,117620.0,11.0,Sheep-Beef
Farm liquid assets at 30 June ($),2010,230940.0,24.0,Sheep-Beef
Fertiliser ($),2010,21570.0,12.0,Sheep-Beef
Field peas area sown (ha),2010,0.0,108.0,Sheep-Beef
Field peas produced (t),2010,0.0,108.0,Sheep-Beef
Field peas receipts ($),2010,30.0,108.0,Sheep-Beef
Fodder ($),2010,14080.0,20.0,Sheep-Beef
Fuel oil and grease ($),2010,18990.0,12.0,Sheep-Beef
Grain legumes area sown (ha),2010,2.0,36.0,Sheep-Beef
Grain legumes produced (t),2010,3.0,30.0,Sheep-Beef
Grain legumes receipts ($),2010,740.0,31.0,Sheep-Beef
Handling and marketing ($),2010,18570.0,10.0,Sheep-Beef
Hours worked on farm - total (hrsperwk),2010,91.0,6.0,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),2010,46.0,5.0,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),2010,17.0,13.0,Sheep-Beef
Imputed labor cost ($),2010,76440.0,5.0,Sheep-Beef
Insurance ($),2010,10390.0,9.0,Sheep-Beef
Interest paid ($),2010,39150.0,16.0,Sheep-Beef
Lambs at 30 June (no.),2010,695.0,10.0,Sheep-Beef
Land rent ($),2010,6470.0,27.0,Sheep-Beef
Leasing charges ($),2010,1410.0,26.0,Sheep-Beef
Livestock materials ($),2010,15470.0,10.0,Sheep-Beef
Livestock transfers - inwards ($),2010,750.0,71.0,Sheep-Beef
Livestock transfers - outward ($),2010,170.0,92.0,Sheep-Beef
Lupins area sown (ha),2010,1.0,11.0,Sheep-Beef
Lupins produced (t),2010,2.0,8.0,Sheep-Beef
Lupins receipts ($),2010,400.0,9.0,Sheep-Beef
Net capital additions ($),2010,-132880.0,116.0,Sheep-Beef
Oats area sown (ha),2010,11.0,22.0,Sheep-Beef
Oats produced (t),2010,6.0,28.0,Sheep-Beef
Oats receipts ($),2010,150.0,66.0,Sheep-Beef
Off farm contracts ($),2010,5660.0,64.0,Sheep-Beef
Off farm sharefarming ($),2010,1150.0,73.0,Sheep-Beef
Off-farm work for owner manager (hrsperwk),2010,4.0,35.0,Sheep-Beef
Off-farm work for spouse (hrsperwk),2010,5.0,24.0,Sheep-Beef
Oilseeds area sown (ha),2010,10.0,40.0,Sheep-Beef
Oilseeds produced (t),2010,11.0,34.0,Sheep-Beef
Oilseeds receipts ($),2010,8300.0,32.0,Sheep-Beef
Other administration expenses ($),2010,6390.0,14.0,Sheep-Beef
Other farm income ($),2010,21920.0,31.0,Sheep-Beef
Other livestock purchased ($),2010,10.0,124.0,Sheep-Beef
Other livestock receipts ($),2010,3810.0,49.0,Sheep-Beef
Other materials ($),2010,4210.0,21.0,Sheep-Beef
Other services ($),2010,10280.0,17.0,Sheep-Beef
Payments to sharefarmers ($),2010,1430.0,64.0,Sheep-Beef
Population,2010,4294.0,,Sheep-Beef
Produce purchased for resale ($),2010,0.0,,Sheep-Beef
Profit at full equity ($),2010,35190.0,46.0,Sheep-Beef
Profit at full equity including capital appreciation ($),2010,247890.0,39.0,Sheep-Beef
Rams at 30 June (no.),2010,43.0,10.0,Sheep-Beef
Rate of return ex. capital appreciation (%),2010,0.5,46.0,Sheep-Beef
Rate of return inc. capital appreciation (%),2010,3.9,38.0,Sheep-Beef
Repairs and maintenance ($),2010,34200.0,11.0,Sheep-Beef
Rice area sown (ha),2010,0.0,,Sheep-Beef
Sample Contributing,2010,159.0,,Sheep-Beef
Seed ($),2010,3040.0,18.0,Sheep-Beef
Shearing crutching ($),2010,21890.0,12.0,Sheep-Beef
Sheep and lambs shorn (no.),2010,2666.0,8.0,Sheep-Beef
Sheep flock at 30 June (no.),2010,2593.0,8.0,Sheep-Beef
Sheep purchased ($),2010,19080.0,16.0,Sheep-Beef
Sheep purchased (no.),2010,117.0,20.0,Sheep-Beef
Sheep receipts ($),2010,146000.0,7.0,Sheep-Beef
Sheep sold (no.),2010,1233.0,8.0,Sheep-Beef
Shire and PPB rates ($),2010,12390.0,8.0,Sheep-Beef
Sorghum area sown (ha),2010,0.0,75.0,Sheep-Beef
Sorghum produced (t),2010,1.0,75.0,Sheep-Beef
Sorghum receipts ($),2010,200.0,75.0,Sheep-Beef
Steers and other beef cattle at 30 June (no.),2010,59.0,15.0,Sheep-Beef
Stores and rations ($),2010,580.0,24.0,Sheep-Beef
Telephone ($),2010,3690.0,7.0,Sheep-Beef
Total area cropped (ha),2010,85.0,19.0,Sheep-Beef
Total area irrigated (ha),2010,,,Sheep-Beef
Total cash costs ($),2010,357590.0,8.0,Sheep-Beef
Total cash receipts ($),2010,475210.0,7.0,Sheep-Beef
Total closing capital ($),2010,6412310.0,6.0,Sheep-Beef
Total crop gross receipts ($),2010,29190.0,35.0,Sheep-Beef
Total family income ($),2010,88280.0,19.0,Sheep-Beef
Total freight ($),2010,12820.0,12.0,Sheep-Beef
Total labor used (weeks),2010,103.0,6.0,Sheep-Beef
Total non farm income ($),2010,42680.0,21.0,Sheep-Beef
Total off farm wages ($),2010,20620.0,26.0,Sheep-Beef
Total wool sold (kg),2010,10547.0,9.0,Sheep-Beef
Value of land and fixed improvements ($),2010,5325620.0,7.0,Sheep-Beef
Vet fees ($),2010,1680.0,20.0,Sheep-Beef
Wages for hired labor ($),2010,17690.0,15.0,Sheep-Beef
Water charges ($),2010,980.0,27.0,Sheep-Beef
Wethers at 30 June (no.),2010,352.0,17.0,Sheep-Beef
Wheat area sown (ha),2010,27.0,47.0,Sheep-Beef
Wheat produced (t),2010,42.0,46.0,Sheep-Beef
Wheat receipts ($),2010,12660.0,42.0,Sheep-Beef
Wheat sold (t),2010,40.0,47.0,Sheep-Beef
Wool cut per head (kg),2010,4.0,3.0,Sheep-Beef
Wool produced (kg),2010,10776.0,8.0,Sheep-Beef
Wool receipts ($),2010,88770.0,12.0,Sheep-Beef
AI stud fees and herd testing ($),2011,480.0,44.0,All Broadacre
Accounting services ($),2011,4640.0,3.0,All Broadacre
Advisory services ($),2011,1590.0,12.0,All Broadacre
Age of owner manager (yrs),2011,58.0,1.0,All Broadacre
Age of spouse (yrs),2011,55.0,1.0,All Broadacre
Agistment ($),2011,1970.0,14.0,All Broadacre
Area operated at 30 June (ha),2011,6722.0,5.0,All Broadacre
Barley area sown (ha),2011,63.0,6.0,All Broadacre
Barley produced (t),2011,138.0,6.0,All Broadacre
Barley receipts ($),2011,39230.0,7.0,All Broadacre
Beef bulls at 30 June (no.),2011,8.0,6.0,All Broadacre
Beef calves at 30 June (no.),2011,97.0,4.0,All Broadacre
Beef cattle purchased ($),2011,27840.0,13.0,All Broadacre
Beef cattle purchased (no.),2011,29.0,13.0,All Broadacre
Beef cattle receipts ($),2011,139390.0,6.0,All Broadacre
Beef cattle sold (no.),2011,129.0,5.0,All Broadacre
Beef cattle transferred off farm (no.),2011,13.0,25.0,All Broadacre
Beef cattle transferred onto farm (no.),2011,9.0,36.0,All Broadacre
Beef cows at 30 June (no.),2011,166.0,5.0,All Broadacre
Beef heifers at 30 June (no.),2011,39.0,6.0,All Broadacre
Beef herd at 30 June (no.),2011,398.0,4.0,All Broadacre
Branding rate (%),2011,77.2,1.0,All Broadacre
Buildup in trading stocks ($),2011,46840.0,11.0,All Broadacre
Canola area sown (ha),2011,35.0,9.0,All Broadacre
Canola produced (t),2011,45.0,9.0,All Broadacre
Canola receipts ($),2011,34360.0,9.0,All Broadacre
Capital appreciation ($),2011,-50540.0,29.0,All Broadacre
Capital at 1 July ($),2011,5821630.0,3.0,All Broadacre
Change in farm debt ($),2011,29320.0,27.0,All Broadacre
Contracts - cropping ($),2011,17800.0,8.0,All Broadacre
Contracts - livestock ($),2011,3230.0,8.0,All Broadacre
Cotton receipts ($),2011,8790.0,28.0,All Broadacre
Crop and pasture chemicals ($),2011,34500.0,5.0,All Broadacre
Dairy cattle at June 30 (no.),2011,0.0,67.0,All Broadacre
Depreciation ($),2011,60910.0,3.0,All Broadacre
Electricity ($),2011,4020.0,4.0,All Broadacre
Equity ratio at 30 June (%),2011,87.0,1.0,All Broadacre
Ewes at 30 June (no.),2011,758.0,4.0,All Broadacre
Family share of farm income ($),2011,124020.0,6.0,All Broadacre
Farm business debt at 30 June ($),2011,708920.0,6.0,All Broadacre
Farm business equity June 30 ($),2011,4899440.0,3.0,All Broadacre
Farm business profit ($),2011,87320.0,9.0,All Broadacre
Farm cash income ($),2011,173400.0,5.0,All Broadacre
Farm liquid assets at 30 June ($),2011,223860.0,6.0,All Broadacre
Fertiliser ($),2011,45920.0,4.0,All Broadacre
Field peas area sown (ha),2011,5.0,16.0,All Broadacre
Field peas produced (t),2011,7.0,17.0,All Broadacre
Field peas receipts ($),2011,2030.0,20.0,All Broadacre
Fodder ($),2011,8630.0,49.0,All Broadacre
Fuel oil and grease ($),2011,33260.0,3.0,All Broadacre
Grain legumes area sown (ha),2011,35.0,7.0,All Broadacre
Grain legumes produced (t),2011,38.0,7.0,All Broadacre
Grain legumes receipts ($),2011,12450.0,10.0,All Broadacre
Handling and marketing ($),2011,16500.0,4.0,All Broadacre
Hours worked on farm - total (hrsperwk),2011,87.0,2.0,All Broadacre
Hours worked on farm by owner manager (hrsperwk),2011,46.0,2.0,All Broadacre
Hours worked on farm by spouse (hrsperwk),2011,15.0,4.0,All Broadacre
Imputed labor cost ($),2011,72010.0,1.0,All Broadacre
Insurance ($),2011,11940.0,3.0,All Broadacre
Interest paid ($),2011,52110.0,6.0,All Broadacre
Lambs at 30 June (no.),2011,362.0,5.0,All Broadacre
Land rent ($),2011,9820.0,11.0,All Broadacre
Leasing charges ($),2011,1820.0,19.0,All Broadacre
Livestock materials ($),2011,9200.0,9.0,All Broadacre
Livestock transfers - inwards ($),2011,7480.0,45.0,All Broadacre
Livestock transfers - outward ($),2011,11360.0,26.0,All Broadacre
Lupins area sown (ha),2011,15.0,12.0,All Broadacre
Lupins produced (t),2011,14.0,13.0,All Broadacre
Lupins receipts ($),2011,4150.0,19.0,All Broadacre
Net capital additions ($),2011,60400.0,38.0,All Broadacre
Oats area sown (ha),2011,21.0,8.0,All Broadacre
Oats produced (t),2011,19.0,12.0,All Broadacre
Oats receipts ($),2011,2720.0,24.0,All Broadacre
Off farm contracts ($),2011,12180.0,15.0,All Broadacre
Off farm sharefarming ($),2011,5770.0,20.0,All Broadacre
Off-farm work for owner manager (hrsperwk),2011,4.0,13.0,All Broadacre
Off-farm work for spouse (hrsperwk),2011,9.0,6.0,All Broadacre
Oilseeds area sown (ha),2011,37.0,9.0,All Broadacre
Oilseeds produced (t),2011,46.0,9.0,All Broadacre
Oilseeds receipts ($),2011,34600.0,8.0,All Broadacre
Other administration expenses ($),2011,6770.0,7.0,All Broadacre
Other farm income ($),2011,30090.0,20.0,All Broadacre
Other livestock purchased ($),2011,200.0,48.0,All Broadacre
Other livestock receipts ($),2011,1470.0,25.0,All Broadacre
Other materials ($),2011,4230.0,6.0,All Broadacre
Other services ($),2011,9720.0,11.0,All Broadacre
Payments to sharefarmers ($),2011,2810.0,28.0,All Broadacre
Population,2011,52979.0,,All Broadacre
Produce purchased for resale ($),2011,120.0,82.0,All Broadacre
Profit at full equity ($),2011,150340.0,5.0,All Broadacre
Profit at full equity including capital appreciation ($),2011,99800.0,16.0,All Broadacre
Rams at 30 June (no.),2011,17.0,6.0,All Broadacre
Rate of return ex. capital appreciation (%),2011,2.6,5.0,All Broadacre
Rate of return inc. capital appreciation (%),2011,1.7,16.0,All Broadacre
Repairs and maintenance ($),2011,38720.0,4.0,All Broadacre
Rice area sown (ha),2011,1.0,32.0,All Broadacre
Sample Contributing,2011,1603.0,,All Broadacre
Seed ($),2011,5030.0,7.0,All Broadacre
Shearing crutching ($),2011,9850.0,5.0,All Broadacre
Sheep and lambs shorn (no.),2011,1245.0,5.0,All Broadacre
Sheep flock at 30 June (no.),2011,1258.0,4.0,All Broadacre
Sheep purchased ($),2011,15580.0,8.0,All Broadacre
Sheep purchased (no.),2011,81.0,9.0,All Broadacre
Sheep receipts ($),2011,85720.0,4.0,All Broadacre
Sheep sold (no.),2011,516.0,4.0,All Broadacre
Shire and PPB rates ($),2011,11120.0,2.0,All Broadacre
Sorghum area sown (ha),2011,8.0,16.0,All Broadacre
Sorghum produced (t),2011,28.0,18.0,All Broadacre
Sorghum receipts ($),2011,6220.0,17.0,All Broadacre
Steers and other beef cattle at 30 June (no.),2011,89.0,6.0,All Broadacre
Stores and rations ($),2011,870.0,9.0,All Broadacre
Telephone ($),2011,3500.0,4.0,All Broadacre
Total area cropped (ha),2011,421.0,3.0,All Broadacre
Total area irrigated (ha),2011,,,All Broadacre
Total cash costs ($),2011,438590.0,4.0,All Broadacre
Total cash receipts ($),2011,611990.0,3.0,All Broadacre
Total closing capital ($),2011,5864670.0,3.0,All Broadacre
Total crop gross receipts ($),2011,271630.0,4.0,All Broadacre
Total family income ($),2011,182420.0,4.0,All Broadacre
Total freight ($),2011,17230.0,4.0,All Broadacre
Total labor used (weeks),2011,95.0,2.0,All Broadacre
Total non farm income ($),2011,52210.0,5.0,All Broadacre
Total off farm wages ($),2011,30270.0,7.0,All Broadacre
Total wool sold (kg),2011,5561.0,5.0,All Broadacre
Value of land and fixed improvements ($),2011,4746270.0,3.0,All Broadacre
Vet fees ($),2011,1260.0,10.0,All Broadacre
Wages for hired labor ($),2011,16160.0,9.0,All Broadacre
Water charges ($),2011,2660.0,16.0,All Broadacre
Wethers at 30 June (no.),2011,120.0,9.0,All Broadacre
Wheat area sown (ha),2011,224.0,4.0,All Broadacre
Wheat produced (t),2011,472.0,4.0,All Broadacre
Wheat receipts ($),2011,155380.0,4.0,All Broadacre
Wheat sold (t),2011,435.0,4.0,All Broadacre
Wool cut per head (kg),2011,4.3,1.0,All Broadacre
Wool produced (kg),2011,5383.0,5.0,All Broadacre
Wool receipts ($),2011,54380.0,5.0,All Broadacre
AI stud fees and herd testing ($),2011,630.0,40.0,Beef
Accounting services ($),2011,3690.0,5.0,Beef
Advisory services ($),2011,380.0,20.0,Beef
Age of owner manager (yrs),2011,61.0,2.0,Beef
Age of spouse (yrs),2011,58.0,2.0,Beef
Agistment ($),2011,4290.0,20.0,Beef
Area operated at 30 June (ha),2011,13745.0,8.0,Beef
Barley area sown (ha),2011,3.0,33.0,Beef
Barley produced (t),2011,6.0,54.0,Beef
Barley receipts ($),2011,1200.0,38.0,Beef
Beef bulls at 30 June (no.),2011,19.0,7.0,Beef
Beef calves at 30 June (no.),2011,229.0,4.0,Beef
Beef cattle purchased ($),2011,53290.0,17.0,Beef
Beef cattle purchased (no.),2011,56.0,17.0,Beef
Beef cattle receipts ($),2011,305230.0,7.0,Beef
Beef cattle sold (no.),2011,292.0,7.0,Beef
Beef cattle transferred off farm (no.),2011,42.0,25.0,Beef
Beef cattle transferred onto farm (no.),2011,29.0,36.0,Beef
Beef cows at 30 June (no.),2011,400.0,6.0,Beef
Beef heifers at 30 June (no.),2011,101.0,6.0,Beef
Beef herd at 30 June (no.),2011,990.0,4.0,Beef
Branding rate (%),2011,74.5,1.0,Beef
Buildup in trading stocks ($),2011,33110.0,33.0,Beef
Canola area sown (ha),2011,2.0,60.0,Beef
Canola produced (t),2011,4.0,62.0,Beef
Canola receipts ($),2011,2920.0,57.0,Beef
Capital appreciation ($),2011,-152920.0,22.0,Beef
Capital at 1 July ($),2011,6188950.0,4.0,Beef
Change in farm debt ($),2011,13830.0,90.0,Beef
Contracts - cropping ($),2011,4760.0,24.0,Beef
Contracts - livestock ($),2011,6500.0,11.0,Beef
Cotton receipts ($),2011,920.0,112.0,Beef
Crop and pasture chemicals ($),2011,3940.0,24.0,Beef
Dairy cattle at June 30 (no.),2011,1.0,85.0,Beef
Depreciation ($),2011,38500.0,4.0,Beef
Electricity ($),2011,3230.0,6.0,Beef
Equity ratio at 30 June (%),2011,91.0,1.0,Beef
Ewes at 30 June (no.),2011,54.0,29.0,Beef
Family share of farm income ($),2011,51670.0,15.0,Beef
Farm business debt at 30 June ($),2011,509730.0,9.0,Beef
Farm business equity June 30 ($),2011,5082660.0,5.0,Beef
Farm business profit ($),2011,14740.0,59.0,Beef
Farm cash income ($),2011,85710.0,15.0,Beef
Farm liquid assets at 30 June ($),2011,196970.0,13.0,Beef
Fertiliser ($),2011,9280.0,20.0,Beef
Field peas area sown (ha),2011,0.0,113.0,Beef
Field peas produced (t),2011,0.0,113.0,Beef
Field peas receipts ($),2011,20.0,113.0,Beef
Fodder ($),2011,14330.0,21.0,Beef
Fuel oil and grease ($),2011,17520.0,5.0,Beef
Grain legumes area sown (ha),2011,1.0,46.0,Beef
Grain legumes produced (t),2011,0.0,59.0,Beef
Grain legumes receipts ($),2011,280.0,71.0,Beef
Handling and marketing ($),2011,9340.0,13.0,Beef
Hours worked on farm - total (hrsperwk),2011,76.0,3.0,Beef
Hours worked on farm by owner manager (hrsperwk),2011,43.0,3.0,Beef
Hours worked on farm by spouse (hrsperwk),2011,15.0,8.0,Beef
Imputed labor cost ($),2011,65570.0,3.0,Beef
Insurance ($),2011,7130.0,7.0,Beef
Interest paid ($),2011,37900.0,10.0,Beef
Lambs at 30 June (no.),2011,31.0,36.0,Beef
Land rent ($),2011,4540.0,12.0,Beef
Leasing charges ($),2011,1790.0,27.0,Beef
Livestock materials ($),2011,10420.0,23.0,Beef
Livestock transfers - inwards ($),2011,22590.0,47.0,Beef
Livestock transfers - outward ($),2011,34550.0,28.0,Beef
Lupins area sown (ha),2011,1.0,60.0,Beef
Lupins produced (t),2011,0.0,82.0,Beef
Lupins receipts ($),2011,40.0,135.0,Beef
Net capital additions ($),2011,81590.0,39.0,Beef
Oats area sown (ha),2011,10.0,26.0,Beef
Oats produced (t),2011,2.0,51.0,Beef
Oats receipts ($),2011,240.0,154.0,Beef
Off farm contracts ($),2011,8580.0,36.0,Beef
Off farm sharefarming ($),2011,0.0,,Beef
Off-farm work for owner manager (hrsperwk),2011,4.0,22.0,Beef
Off-farm work for spouse (hrsperwk),2011,7.0,14.0,Beef
Oilseeds area sown (ha),2011,3.0,55.0,Beef
Oilseeds produced (t),2011,4.0,57.0,Beef
Oilseeds receipts ($),2011,3060.0,53.0,Beef
Other administration expenses ($),2011,5390.0,12.0,Beef
Other farm income ($),2011,21790.0,11.0,Beef
Other livestock purchased ($),2011,140.0,39.0,Beef
Other livestock receipts ($),2011,1140.0,51.0,Beef
Other materials ($),2011,2930.0,11.0,Beef
Other services ($),2011,8050.0,18.0,Beef
Payments to sharefarmers ($),2011,600.0,58.0,Beef
Population,2011,16643.0,,Beef
Produce purchased for resale ($),2011,0.0,,Beef
Profit at full equity ($),2011,58530.0,16.0,Beef
Profit at full equity including capital appreciation ($),2011,-94390.0,37.0,Beef
Rams at 30 June (no.),2011,1.0,31.0,Beef
Rate of return ex. capital appreciation (%),2011,1.0,15.0,Beef
Rate of return inc. capital appreciation (%),2011,-1.5,38.0,Beef
Repairs and maintenance ($),2011,27780.0,6.0,Beef
Rice area sown (ha),2011,0.0,,Beef
Sample Contributing,2011,529.0,,Beef
Seed ($),2011,1760.0,17.0,Beef
Shearing crutching ($),2011,560.0,33.0,Beef
Sheep and lambs shorn (no.),2011,72.0,30.0,Beef
Sheep flock at 30 June (no.),2011,93.0,29.0,Beef
Sheep purchased ($),2011,3070.0,45.0,Beef
Sheep purchased (no.),2011,18.0,49.0,Beef
Sheep receipts ($),2011,7430.0,36.0,Beef
Sheep sold (no.),2011,41.0,34.0,Beef
Shire and PPB rates ($),2011,9790.0,5.0,Beef
Sorghum area sown (ha),2011,1.0,46.0,Beef
Sorghum produced (t),2011,2.0,45.0,Beef
Sorghum receipts ($),2011,500.0,44.0,Beef
Steers and other beef cattle at 30 June (no.),2011,241.0,7.0,Beef
Stores and rations ($),2011,1900.0,10.0,Beef
Telephone ($),2011,2800.0,7.0,Beef
Total area cropped (ha),2011,47.0,15.0,Beef
Total area irrigated (ha),2011,,,Beef
Total cash costs ($),2011,312940.0,8.0,Beef
Total cash receipts ($),2011,398650.0,7.0,Beef
Total closing capital ($),2011,6126460.0,4.0,Beef
Total crop gross receipts ($),2011,17390.0,29.0,Beef
Total family income ($),2011,111520.0,7.0,Beef
Total freight ($),2011,14090.0,7.0,Beef
Total labor used (weeks),2011,88.0,3.0,Beef
Total non farm income ($),2011,52290.0,10.0,Beef
Total off farm wages ($),2011,25370.0,15.0,Beef
Total wool sold (kg),2011,315.0,34.0,Beef
Value of land and fixed improvements ($),2011,4878640.0,5.0,Beef
Vet fees ($),2011,1520.0,20.0,Beef
Wages for hired labor ($),2011,16240.0,13.0,Beef
Water charges ($),2011,750.0,35.0,Beef
Wethers at 30 June (no.),2011,6.0,43.0,Beef
Wheat area sown (ha),2011,9.0,36.0,Beef
Wheat produced (t),2011,18.0,50.0,Beef
Wheat receipts ($),2011,5800.0,46.0,Beef
Wheat sold (t),2011,17.0,54.0,Beef
Wool cut per head (kg),2011,3.9,8.0,Beef
Wool produced (kg),2011,285.0,32.0,Beef
Wool receipts ($),2011,2550.0,34.0,Beef
AI stud fees and herd testing ($),2011,190.0,70.0,Cropping
Accounting services ($),2011,6470.0,8.0,Cropping
Advisory services ($),2011,4460.0,14.0,Cropping
Age of owner manager (yrs),2011,57.0,2.0,Cropping
Age of spouse (yrs),2011,55.0,2.0,Cropping
Agistment ($),2011,390.0,46.0,Cropping
Area operated at 30 June (ha),2011,2347.0,8.0,Cropping
Barley area sown (ha),2011,198.0,8.0,Cropping
Barley produced (t),2011,462.0,8.0,Cropping
Barley receipts ($),2011,138400.0,9.0,Cropping
Beef bulls at 30 June (no.),2011,1.0,27.0,Cropping
Beef calves at 30 June (no.),2011,12.0,26.0,Cropping
Beef cattle purchased ($),2011,10580.0,41.0,Cropping
Beef cattle purchased (no.),2011,10.0,39.0,Cropping
Beef cattle receipts ($),2011,27910.0,32.0,Cropping
Beef cattle sold (no.),2011,23.0,30.0,Cropping
Beef cattle transferred off farm (no.),2011,0.0,108.0,Cropping
Beef cattle transferred onto farm (no.),2011,0.0,,Cropping
Beef cows at 30 June (no.),2011,21.0,27.0,Cropping
Beef heifers at 30 June (no.),2011,2.0,34.0,Cropping
Beef herd at 30 June (no.),2011,44.0,26.0,Cropping
Branding rate (%),2011,88.0,3.0,Cropping
Buildup in trading stocks ($),2011,83490.0,15.0,Cropping
Canola area sown (ha),2011,97.0,11.0,Cropping
Canola produced (t),2011,121.0,13.0,Cropping
Canola receipts ($),2011,92150.0,13.0,Cropping
Capital appreciation ($),2011,8270.0,263.0,Cropping
Capital at 1 July ($),2011,6593710.0,6.0,Cropping
Change in farm debt ($),2011,83470.0,36.0,Cropping
Contracts - cropping ($),2011,44410.0,14.0,Cropping
Contracts - livestock ($),2011,650.0,35.0,Cropping
Cotton receipts ($),2011,39410.0,28.0,Cropping
Crop and pasture chemicals ($),2011,106430.0,6.0,Cropping
Dairy cattle at June 30 (no.),2011,0.0,,Cropping
Depreciation ($),2011,114790.0,5.0,Cropping
Electricity ($),2011,5420.0,9.0,Cropping
Equity ratio at 30 June (%),2011,80.0,2.0,Cropping
Ewes at 30 June (no.),2011,472.0,8.0,Cropping
Family share of farm income ($),2011,231380.0,11.0,Cropping
Farm business debt at 30 June ($),2011,1337820.0,10.0,Cropping
Farm business equity June 30 ($),2011,5336230.0,5.0,Cropping
Farm business profit ($),2011,216730.0,12.0,Cropping
Farm cash income ($),2011,325560.0,8.0,Cropping
Farm liquid assets at 30 June ($),2011,278840.0,14.0,Cropping
Fertiliser ($),2011,120240.0,6.0,Cropping
Field peas area sown (ha),2011,25.0,21.0,Cropping
Field peas produced (t),2011,31.0,22.0,Cropping
Field peas receipts ($),2011,9120.0,26.0,Cropping
Fodder ($),2011,4150.0,39.0,Cropping
Fuel oil and grease ($),2011,72190.0,5.0,Cropping
Grain legumes area sown (ha),2011,127.0,10.0,Cropping
Grain legumes produced (t),2011,137.0,10.0,Cropping
Grain legumes receipts ($),2011,47450.0,14.0,Cropping
Handling and marketing ($),2011,24720.0,10.0,Cropping
Hours worked on farm - total (hrsperwk),2011,102.0,3.0,Cropping
Hours worked on farm by owner manager (hrsperwk),2011,46.0,3.0,Cropping
Hours worked on farm by spouse (hrsperwk),2011,14.0,9.0,Cropping
Imputed labor cost ($),2011,77530.0,3.0,Cropping
Insurance ($),2011,21420.0,8.0,Cropping
