Variable,Year,Value,RSE,Industry
Dairy cattle at June 30 (no.),1990,0.0,108.0,Cropping
Depreciation ($),1990,59270.0,16.0,Cropping
Electricity ($),1990,3680.0,28.0,Cropping
Equity ratio at 30 June (%),1990,84.0,4.0,Cropping
Ewes at 30 June (no.),1990,297.0,29.0,Cropping
Family share of farm income ($),1990,83940.0,19.0,Cropping
Farm business debt at 30 June ($),1990,330320.0,35.0,Cropping
Farm business equity June 30 ($),1990,1772090.0,16.0,Cropping
Farm business profit ($),1990,61100.0,39.0,Cropping
Farm cash income ($),1990,186550.0,15.0,Cropping
Farm liquid assets at 30 June ($),1990,162020.0,19.0,Cropping
Fertiliser ($),1990,33520.0,54.0,Cropping
Field peas area sown (ha),1990,26.0,41.0,Cropping
Field peas produced (t),1990,31.0,35.0,Cropping
Field peas receipts ($),1990,13830.0,41.0,Cropping
Fodder ($),1990,17150.0,104.0,Cropping
Fuel oil and grease ($),1990,36380.0,18.0,Cropping
Grain legumes area sown (ha),1990,62.0,138.0,Cropping
Grain legumes produced (t),1990,64.0,109.0,Cropping
Grain legumes receipts ($),1990,29960.0,112.0,Cropping
Handling and marketing ($),1990,27440.0,20.0,Cropping
Hours worked on farm - total (hrsperwk),1990,,,Cropping
Hours worked on farm by owner manager (hrsperwk),1990,,,Cropping
Hours worked on farm by spouse (hrsperwk),1990,,,Cropping
Imputed labor cost ($),1990,71740.0,12.0,Cropping
Insurance ($),1990,9290.0,23.0,Cropping
Interest paid ($),1990,49270.0,28.0,Cropping
Lambs at 30 June (no.),1990,107.0,19.0,Cropping
Land rent ($),1990,2730.0,55.0,Cropping
Leasing charges ($),1990,7760.0,159.0,Cropping
Livestock materials ($),1990,2230.0,37.0,Cropping
Livestock transfers - inwards ($),1990,0.0,,Cropping
Livestock transfers - outward ($),1990,0.0,,Cropping
Lupins area sown (ha),1990,26.0,304.0,Cropping
Lupins produced (t),1990,23.0,281.0,Cropping
Lupins receipts ($),1990,9960.0,294.0,Cropping
Net capital additions ($),1990,78340.0,56.0,Cropping
Oats area sown (ha),1990,10.0,61.0,Cropping
Oats produced (t),1990,13.0,58.0,Cropping
Oats receipts ($),1990,1940.0,69.0,Cropping
Off farm contracts ($),1990,24040.0,52.0,Cropping
Off farm sharefarming ($),1990,18290.0,73.0,Cropping
Off-farm work for owner manager (hrsperwk),1990,1.0,65.0,Cropping
Off-farm work for spouse (hrsperwk),1990,4.0,38.0,Cropping
Oilseeds area sown (ha),1990,9.0,39.0,Cropping
Oilseeds produced (t),1990,13.0,53.0,Cropping
Oilseeds receipts ($),1990,21460.0,35.0,Cropping
Other administration expenses ($),1990,4970.0,39.0,Cropping
Other farm income ($),1990,36030.0,67.0,Cropping
Other livestock purchased ($),1990,740.0,52.0,Cropping
Other livestock receipts ($),1990,9860.0,58.0,Cropping
Other materials ($),1990,1920.0,14.0,Cropping
Other services ($),1990,11170.0,26.0,Cropping
Payments to sharefarmers ($),1990,15710.0,40.0,Cropping
Population,1990,8157.0,,Cropping
Produce purchased for resale ($),1990,430.0,96.0,Cropping
Profit at full equity ($),1990,115950.0,21.0,Cropping
Profit at full equity including capital appreciation ($),1990,-10570.0,592.0,Cropping
Rams at 30 June (no.),1990,4.0,17.0,Cropping
Rate of return ex. capital appreciation (%),1990,5.4,21.0,Cropping
Rate of return inc. capital appreciation (%),1990,-0.5,596.0,Cropping
Repairs and maintenance ($),1990,42410.0,30.0,Cropping
Rice area sown (ha),1990,4.0,52.0,Cropping
Sample Contributing,1990,98.0,,Cropping
Seed ($),1990,6970.0,25.0,Cropping
Shearing crutching ($),1990,2530.0,21.0,Cropping
Sheep and lambs shorn (no.),1990,625.0,48.0,Cropping
Sheep flock at 30 June (no.),1990,609.0,44.0,Cropping
Sheep purchased ($),1990,9000.0,161.0,Cropping
Sheep purchased (no.),1990,163.0,179.0,Cropping
Sheep receipts ($),1990,13240.0,38.0,Cropping
Sheep sold (no.),1990,231.0,37.0,Cropping
Shire and PPB rates ($),1990,8820.0,21.0,Cropping
Sorghum area sown (ha),1990,27.0,21.0,Cropping
Sorghum produced (t),1990,86.0,24.0,Cropping
Sorghum receipts ($),1990,29320.0,20.0,Cropping
Steers and other beef cattle at 30 June (no.),1990,8.0,24.0,Cropping
Stores and rations ($),1990,30.0,52.0,Cropping
Telephone ($),1990,2740.0,18.0,Cropping
Total area cropped (ha),1990,562.0,35.0,Cropping
Total area irrigated (ha),1990,12.0,27.0,Cropping
Total cash costs ($),1990,392880.0,32.0,Cropping
Total cash receipts ($),1990,579440.0,22.0,Cropping
Total closing capital ($),1990,2143120.0,17.0,Cropping
Total crop gross receipts ($),1990,421860.0,26.0,Cropping
Total family income ($),1990,116790.0,15.0,Cropping
Total freight ($),1990,34890.0,27.0,Cropping
Total labor used (weeks),1990,108.0,18.0,Cropping
Total non farm income ($),1990,27350.0,16.0,Cropping
Total off farm wages ($),1990,8380.0,39.0,Cropping
Total wool sold (kg),1990,2872.0,25.0,Cropping
Value of land and fixed improvements ($),1990,1741680.0,18.0,Cropping
Vet fees ($),1990,100.0,45.0,Cropping
Wages for hired labor ($),1990,7790.0,94.0,Cropping
Water charges ($),1990,2400.0,26.0,Cropping
Wethers at 30 June (no.),1990,202.0,91.0,Cropping
Wheat area sown (ha),1990,349.0,33.0,Cropping
Wheat produced (t),1990,574.0,29.0,Cropping
Wheat receipts ($),1990,249640.0,32.0,Cropping
Wheat sold (t),1990,567.0,29.0,Cropping
Wool cut per head (kg),1990,4.7,26.0,Cropping
Wool produced (kg),1990,2914.0,25.0,Cropping
Wool receipts ($),1990,36040.0,19.0,Cropping
AI stud fees and herd testing ($),1990,4140.0,7.0,Dairy
Accounting services ($),1990,1950.0,6.0,Dairy
Advisory services ($),1990,90.0,32.0,Dairy
Age of owner manager (yrs),1990,48.0,2.0,Dairy
Age of spouse (yrs),1990,45.0,2.0,Dairy
Agistment ($),1990,2500.0,14.0,Dairy
Area operated at 30 June (ha),1990,161.0,4.0,Dairy
Beef cattle purchased ($),1990,4800.0,33.0,Dairy
Beef cattle receipts ($),1990,21300.0,17.0,Dairy
Beef cattle sold (no.),1990,17.0,15.0,Dairy
Beef herd at 30 June (no.),1990,32.0,14.0,Dairy
Buildup in trading stocks ($),1990,5790.0,47.0,Dairy
Capital appreciation ($),1990,-160670.0,138.0,Dairy
Capital at 1 July ($),1990,2231580.0,11.0,Dairy
Change in farm debt ($),1990,28260.0,50.0,Dairy
Contracts - cropping ($),1990,3150.0,14.0,Dairy
Contracts - livestock ($),1990,130.0,121.0,Dairy
Crop and pasture chemicals ($),1990,880.0,14.0,Dairy
Dairy cattle at June 30 (no.),1990,168.0,2.0,Dairy
Dairy cattle purchased ($),1990,8560.0,12.0,Dairy
Dairy cattle purchased (no.),1990,6.0,13.0,Dairy
Dairy cattle sold ($),1990,32580.0,4.0,Dairy
Dairy cattle sold (no.),1990,92.0,3.0,Dairy
Dairy cows at 30 June (no.),1990,113.0,2.0,Dairy
